2021-01-10 14:27:25 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67ms. Found 4 repository interfaces.
2021-01-10 14:27:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b59ce9a7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-10 14:27:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-01-10 14:27:26 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-01-10 14:27:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2021-01-10 14:27:26 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-10 14:27:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-01-10 14:27:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-01-10 14:27:26 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-01-10 14:27:27 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2021-01-10 14:27:27 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-01-10 14:27:27 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-01-10 14:27:27 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-01-10 14:27:28 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-01-10 14:27:28 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-01-10 14:27:29 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45295cfd, org.springframework.security.web.context.SecurityContextPersistenceFilter@73d7d676, org.springframework.security.web.header.HeaderWriterFilter@42536da6, org.springframework.web.filter.CorsFilter@42c9b1ee, org.springframework.security.web.authentication.logout.LogoutFilter@1f7fcec2, com.example.demo.security.JWTAuthenticationFilter@217c6a1e, com.example.demo.security.JWTAuthenticationVerficationFilter@3fad8636, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3023f157, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@72bdbfe9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@306cfb8a, org.springframework.security.web.session.SessionManagementFilter@5cdc8499, org.springframework.security.web.access.ExceptionTranslationFilter@5b0e5d5f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5b6f3d0b]
2021-01-10 14:27:29 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-01-10 14:27:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-01-10 14:27:29 [main] INFO  c.example.demo.EcommerceApplication - Started EcommerceApplication in 6.459 seconds (JVM running for 7.481)
2021-01-10 14:28:17 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-01-10 14:28:18 [http-nio-8080-exec-2] INFO  c.e.demo.controllers.UserController - [CREATE USER] [Success] user -> user
2021-01-10 14:28:32 [http-nio-8080-exec-3] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2021-01-10 14:31:59 [http-nio-8080-exec-1] ERROR c.e.demo.controllers.CartController - [ADD TO CART] [Fail] User -> null, REASON -> User not found
2021-01-10 14:32:12 [http-nio-8080-exec-2] INFO  c.e.demo.controllers.CartController - [ADD TO CART] [Success] User -> user
2021-01-10 14:33:11 [http-nio-8080-exec-3] INFO  c.e.demo.controllers.CartController - [REMOVE FROM CART] [Success] User -> user
2021-01-10 14:33:52 [http-nio-8080-exec-4] INFO  c.e.demo.controllers.OrderController - [SUBMIT ORDER] [Success] user -> user
2021-01-10 15:44:34 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6m5s893ms955µs600ns).
2021-01-10 16:55:19 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=56m15s588ms732µs).
